CANTIDAD,NOMBRE,NUMERO
1,Patatas,0007
1,Coca cola,0007
2,Menú de Hamburguesa con queso,0007
4,Menú de Pollo con queso,0009
1,Helado,0009
2,Menú de Pollo,0001
1,Menú de Hamburguesa con queso,0001
1,Patatas,0005
1,Menú de Hamburguesa con queso,0005
2,Menú de Pollo con queso,0005
2,Menú de Hamburguesa con queso,0006
1,Menú de Pollo con queso,0006
1,Agua,0006
1,Fanta,0006
1,Menú de Pollo,0002
2,Menú de Hamburguesa con queso,0002
2,Helado,0002
2,Menú de Hamburguesa,0003
1,Fruta,0003
3,Queso,0010
3,Menú de Hamburguesa con queso,0010
3,Menú de Pollo con queso,0010
3,Tarta,0010
2,Queso,0011
1,Queso,0004
3,Menú de Pollo con queso,0004
1,Menú de Pollo,0008
2,Menú de Pollo con queso,0008
